Voltage Time
1.2160000000000002 0.02425384521484375
1.2160000000000002 0.025053024291992188
1.184 0.02544999122619629
1.2000000000000002 0.025732994079589844
1.2000000000000002 0.026016950607299805
1.168 0.0263059139251709
1.184 0.026582956314086914
1.2000000000000002 0.026854991912841797
1.2160000000000002 0.02713799476623535
1.184 0.027415037155151367
1.2000000000000002 0.027685880661010742
1.168 0.027948856353759766
1.168 0.028219938278198242
1.184 0.028486967086791992
1.184 0.028981924057006836
1.184 0.029299020767211914
1.2000000000000002 0.029568910598754883
1.168 0.029846906661987305
1.168 0.030113935470581055
1.2000000000000002 0.030383825302124023
1.184 0.030644893646240234
1.2000000000000002 0.030917882919311523
1.2000000000000002 0.03119182586669922
1.168 0.03146696090698242
1.168 0.03172588348388672
1.184 0.03199601173400879
1.168 0.032277822494506836
1.168 0.03256487846374512
1.168 0.03289294242858887
1.2160000000000002 0.03305697441101074
1.168 0.03320193290710449
1.2000000000000002 0.0333409309387207
1.168 0.033509016036987305
1.168 0.033653974533081055
1.2160000000000002 0.03379082679748535
1.2000000000000002 0.03394889831542969
1.2000000000000002 0.03410696983337402
1.2160000000000002 0.03425288200378418
1.168 0.034394025802612305
1.2000000000000002 0.03453683853149414
1.184 0.0346980094909668
1.184 0.03484392166137695
1.184 0.03498387336730957
1.2000000000000002 0.035125017166137695
1.168 0.03526186943054199
1.168 0.03540301322937012
1.168 0.03554105758666992
1.2320000000000002 0.03568601608276367
1.168 0.03582501411437988
1.2000000000000002 0.0359649658203125
1.2000000000000002 0.03610396385192871
1.184 0.036242008209228516
1.168 0.036377906799316406
1.184 0.03651785850524902
1.184 0.03665590286254883
1.152 0.036795854568481445
1.2320000000000002 0.03695201873779297
1.184 0.03709101676940918
1.152 0.0372319221496582
1.2160000000000002 0.03737282752990723
1.184 0.037513017654418945
1.2000000000000002 0.03765082359313965
1.152 0.03778886795043945
1.152 0.03793191909790039
1.2000000000000002 0.0380709171295166
1.2000000000000002 0.03821086883544922
1.168 0.03835105895996094
1.2160000000000002 0.03848886489868164
1.2000000000000002 0.038626909255981445
1.184 0.038765907287597656
1.152 0.03890585899353027
1.184 0.03904604911804199
